D1,D2,RR,EXP_PROB1,EXP_PROB0,AR,PROBZ
1000,1450,0.729389,0.001866,0.002558,-0.000692,0
1000,1451,0.739407,0.000661,0.000894,-0.000233,0.000656
1000,1452,0.764259,0.003444,0.004507,-0.001063,0
1000,1454,0.773592,0.001705,0.002204,-0.000499,3.00E-06
1000,1455,0.937763,0.001627,0.001736,-0.000109,0.258834
1000,1456,0.901507,0.003673,0.004074,-0.000401,0.006066
1000,1457,0.818926,0.000253,0.000308,-0.000055,0.16481
1000,1459,0.623974,0.001632,0.002616,-0.000984,0
1000,1465,0.856873,0.002094,0.002444,-0.00035,0.002001
1000,1466,0.79417,0.001122,0.001413,-0.000291,0.000718
1000,1467,0.601739,0.022833,0.037946,-0.015113,0
1000,1468,0.6032,0.043962,0.072881,-0.028919,0
1000,1469,0.663705,0.016848,0.025385,-0.008537,0
1000,1471,0.946036,0.001414,0.001494,-0.00008,0.36381
1000,1472,0.606826,0.004183,0.006893,-0.00271,0
1000,1473,0.569849,0.092344,0.162051,-0.069707,0
1000,1474,0.679704,0.009022,0.013273,-0.004251,0
1000,1475,0.719147,0.004795,0.006668,-0.001873,0
1000,1506,0.489591,0.00069,0.001409,-0.000719,0
1000,1510,0.521601,0.000321,0.000615,-0.000294,0
1000,1513,5.298278,0.002196,0.000414,0.001782,0
1000,1514,14.104538,0.004338,0.000308,0.00403,0
1000,1517,2.788968,0.000282,0.000101,0.000181,0
1000,1518,0.971053,0.001953,0.002011,-0.000058,0.572258
1000,1519,2.890725,0.001341,0.000464,0.000877,0
1000,1520,0.643639,0.000714,0.00111,-0.000396,0
1000,1522,0.638465,0.00788,0.012342,-0.004462,0
1000,1523,0.620897,0.004159,0.006698,-0.002539,0
1000,1524,0.786605,0.000277,0.000352,-0.000075,0.080129
1000,1525,0.609712,0.000476,0.000781,-0.000305,2.00E-06
1000,1526,0.729669,0.008118,0.011126,-0.003008,0
1000,1527,0.582088,0.004858,0.008346,-0.003488,0
1000,1528,0.575224,0.003532,0.00614,-0.002608,0
1000,1529,0.499948,0.0005,0.001001,-0.000501,0
1000,1531,0.762946,0.000967,0.001267,-0.0003,0.000224
1000,1532,0.57383,0.004207,0.007332,-0.003125,0
1000,1533,0.7391,0.008317,0.011253,-0.002936,0
1000,1536,0.713358,0.00204,0.00286,-0.00082,0
1000,1539,0.605533,0.000476,0.000786,-0.00031,1.00E-06
1000,1540,0.706382,0.000768,0.001087,-0.000319,0.000023
1000,1545,0.708317,0.14935,0.210852,-0.061502,0
1000,1546,0.659834,0.16084,0.243758,-0.082918,0
1000,1547,0.62655,0.125186,0.199802,-0.074616,0
1000,1548,0.653766,0.02945,0.045047,-0.015597,0
1000,1549,0.59821,0.010217,0.017079,-0.006862,0
1000,1550,0.676526,0.035766,0.052867,-0.017101,0
1000,1551,0.75048,0.032686,0.043553,-0.010867,0
1000,1552,0.588804,0.004742,0.008053,-0.003311,0
1000,1553,0.647079,0.139969,0.21631,-0.076341,0
1000,1554,0.754818,0.089075,0.118009,-0.028934,0
1000,1555,0.685214,0.012724,0.018569,-0.005845,0
1000,1556,0.840106,0.000879,0.001047,-0.000168,0.023886
1000,1558,0.861744,0.006835,0.007932,-0.001097,0
1000,1559,0.631881,0.015133,0.02395,-0.008817,0
1000,1562,0.64798,0.004873,0.00752,-0.002647,0
1000,1563,0.785439,0.002546,0.003241,-0.000695,0
1000,1564,0.853848,0.001433,0.001678,-0.000245,0.008935
1000,1565,0.653862,0.018092,0.027669,-0.009577,0
1000,1566,0.716169,0.003401,0.004749,-0.001348,0
1000,1569,0.952871,0.004921,0.005165,-0.000244,0.139766
1000,1570,0.836167,0.006704,0.008018,-0.001314,0
1000,1571,0.857212,0.014618,0.017053,-0.002435,0
1000,1572,0.69897,0.000345,0.000493,-0.000148,0.003441
1000,1573,0.816707,0.010858,0.013295,-0.002437,0
1000,1653,0.970536,0.000855,0.000881,-0.000026,0.703767
1000,1654,0.957204,0.004698,0.004908,-0.00021,0.191288
1000,2003,0.737948043,0.020783335,0.028163683,-0.007380348,0
1000,2006,0.718047469,0.098276314,0.136866041,-0.038589727,0
1000,2018,0.658452023,0.000991071,0.001505152,-0.000514082,6.73E-09
1000,2040,1.240919913,0.000310924,0.000250559,6.03647E-05,0.101876802
1000,2044,0.800758473,0.000646139,0.000806909,-0.00016077,0.013382217
1000,2051,0.752437959,0.016435255,0.021842671,-0.005407416,0
1000,2058,0.694667143,0.003964283,0.005706737,-0.001742454,0
1000,2059,0.764987408,0.003259845,0.004261306,-0.00100146,1.85E-11
1000,2064,0.659033796,0.018145338,0.027533243,-0.009387905,0
1000,2067,0.847819478,0.000753019,0.000888184,-0.000135164,0.047704349
1000,2070,0.799921002,0.000286633,0.000358327,-0.000071694,0.097940839
1000,2072,0.743737142,0.001029936,0.001384812,-0.000354876,3.01851E-05
1000,2073,0.801402333,0.01148476,0.014330829,-0.002846069,0
1000,2136,0.894688182,0.000471244,0.000526714,-0.000055469,0.292090842
1000,2139,0.713921646,0.003925417,0.005498386,-0.001572969,0
1000,2140,0.734170135,0.004761026,0.006484908,-0.001723882,0
1000,2146,0.668122282,0.000451812,0.000676241,-0.000224429,0.000159869
1000,2147,0.751056301,0.00179753,0.002393336,-0.000595806,9.83E-08
1000,2149,0.805317869,0.001005645,0.001248756,-0.00024311,0.002639689
1000,2150,0.638843471,0.000680147,0.001064653,-0.000384506,2.55E-07
1000,2153,0.929440687,0.000310924,0.000334528,-0.000023604,0.574228772
1000,2157,0.731676629,0.002234767,0.00305431,-0.000819543,8.45E-11
1000,2162,0.543681934,0.001700366,0.003127502,-0.001427136,0
1000,2163,0.587547661,0.001360293,0.002315205,-0.000954912,0
1000,2167,0.51614708,0.008603854,0.016669383,-0.00806553,0
1000,2173,0.827092992,0.000359506,0.000434662,-0.000075156,0.115422378
1000,2176,0.689125509,0.001117384,0.001621452,-0.000504068,4.30E-08
1000,2180,0.695105405,0.000748161,0.001076328,-0.000328166,0.000012053
1000,2190,0.751801093,0.003726231,0.004956406,-0.001230175,1.95E-14
1000,2196,0.646243583,0.001034794,0.001601245,-0.000566451,5.91E-10
1000,2197,0.608679071,0.000582983,0.000957783,-0.000374801,1.20E-07
1000,2205,1.126087337,0.000743303,0.000660076,8.32272E-05,0.161989348
1000,2206,0.91353255,0.010202198,0.011167854,-0.000965656,6.32596E-05
1000,2207,0.86853013,0.009939856,0.011444457,-0.001504601,7.04E-10
1000,2209,1.173396544,0.00061699,0.000525816,9.11746E-05,0.08687725
1000,2211,0.839852048,0.000495535,0.000590027,-0.000094492,0.08942919
1000,2212,0.899948511,0.002637997,0.002931275,-0.000293278,0.018106921
1000,2213,0.717492547,0.002696295,0.003757942,-0.001061647,3.33E-14
1000,2214,0.63356639,0.012592427,0.019875466,-0.007283039,0
1000,2215,0.619559011,0.004250916,0.006861196,-0.00261028,0
1000,2217,0.675592456,0.000335215,0.000496179,-0.000160964,0.001572634
1000,2224,0.861157565,0.000534401,0.000620561,-0.00008616,0.131235893
1000,2230,0.696046645,0.003099525,0.004453042,-0.001353517,0
1000,2231,0.869504191,0.016843343,0.019371204,-0.002527861,1.33E-15
1000,2234,0.948625738,0.001306853,0.001377628,-0.000070775,0.406559701
1000,2235,0.867770776,0.001588628,0.0018307,-0.000242072,0.013525536
1000,2237,0.772805035,0.000354648,0.00045891,-0.000104262,0.033357749
1000,2238,0.62140278,0.000791885,0.00127435,-0.000482466,3.43E-09
1000,2239,0.651422046,0.000558692,0.00085765,-0.000298958,8.00E-06
